algorithm,n,test_type,bins_used,waste,runtime_ms,approx_ratio
NextFit,8,random_uniform,5,1.243773,0.0021,1.2500
FirstFit,8,random_uniform,4,0.243773,0.0007,1.0000
BestFit,8,random_uniform,4,0.243773,0.1062,1.0000
FFD,8,random_uniform,4,0.243773,0.0011,1.0000
BFD,8,random_uniform,4,0.243773,0.0012,1.0000
NextFit,8,random_normal,5,1.347446,0.0014,1.2500
FirstFit,8,random_normal,4,0.347446,0.0009,1.0000
BestFit,8,random_normal,4,0.347446,0.0021,1.0000
FFD,8,random_normal,4,0.347446,0.0012,1.0000
BFD,8,random_normal,4,0.347446,0.0019,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0014,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0009,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0020,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0010,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0017,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0007,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0008,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0016,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0011,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0014,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0008,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0010,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0019,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0018,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0021,1.0000
NextFit,8,random_uniform,3,0.229085,0.0005,1.0000
FirstFit,8,random_uniform,3,0.229085,0.0005,1.0000
BestFit,8,random_uniform,3,0.229085,0.0007,1.0000
FFD,8,random_uniform,3,0.229085,0.0006,1.0000
BFD,8,random_uniform,3,0.229085,0.0010,1.0000
NextFit,8,random_normal,4,0.564567,0.0009,1.0000
FirstFit,8,random_normal,4,0.564567,0.0006,1.0000
BestFit,8,random_normal,4,0.564567,0.0011,1.0000
FFD,8,random_normal,4,0.564567,0.0009,1.0000
BFD,8,random_normal,4,0.564567,0.0012,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0009,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0010,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0019,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0007,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0011,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0008,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0009,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0008,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0005,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0009,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0010,1.0000
NextFit,8,random_uniform,4,0.966068,0.0008,1.0000
FirstFit,8,random_uniform,4,0.966068,0.0006,1.0000
BestFit,8,random_uniform,4,0.966068,0.0010,1.0000
FFD,8,random_uniform,4,0.966068,0.0007,1.0000
BFD,8,random_uniform,4,0.966068,0.0010,1.0000
NextFit,8,random_normal,4,0.663821,0.0005,1.0000
FirstFit,8,random_normal,4,0.663821,0.0004,1.0000
BestFit,8,random_normal,4,0.663821,0.0008,1.0000
FFD,8,random_normal,4,0.663821,0.0008,1.0000
BFD,8,random_normal,4,0.663821,0.0010,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0009,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0010,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0009,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0014,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0007,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0009,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0008,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0012,1.0000
NextFit,8,random_uniform,7,2.332827,0.0011,1.1667
FirstFit,8,random_uniform,6,1.332827,0.0006,1.0000
BestFit,8,random_uniform,6,1.332827,0.0011,1.0000
FFD,8,random_uniform,6,1.332827,0.0007,1.0000
BFD,8,random_uniform,6,1.332827,0.0012,1.0000
NextFit,8,random_normal,6,1.669214,0.0008,1.2000
FirstFit,8,random_normal,5,0.669214,0.0005,1.0000
BestFit,8,random_normal,5,0.669214,0.0010,1.0000
FFD,8,random_normal,5,0.669214,0.0008,1.0000
BFD,8,random_normal,5,0.669214,0.0011,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0010,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0007,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0013,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0008,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0013,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0007,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0008,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0009,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0005,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0009,1.0000
NextFit,8,random_uniform,6,1.796284,0.0010,1.2000
FirstFit,8,random_uniform,5,0.796284,0.0007,1.0000
BestFit,8,random_uniform,5,0.796284,0.0012,1.0000
FFD,8,random_uniform,5,0.796284,0.0008,1.0000
BFD,8,random_uniform,5,0.796284,0.0013,1.0000
NextFit,8,random_normal,4,0.350782,0.0009,1.0000
FirstFit,8,random_normal,4,0.350782,0.0006,1.0000
BestFit,8,random_normal,4,0.350782,0.0009,1.0000
FFD,8,random_normal,4,0.350782,0.0009,1.0000
BFD,8,random_normal,4,0.350782,0.0013,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0007,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0009,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0012,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0007,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0011,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0015,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0010,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0009,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0008,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0005,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0010,1.0000
NextFit,8,random_uniform,7,1.743682,0.0008,1.0000
FirstFit,8,random_uniform,7,1.743682,0.0006,1.0000
BestFit,8,random_uniform,7,1.743682,0.0011,1.0000
FFD,8,random_uniform,7,1.743682,0.0006,1.0000
BFD,8,random_uniform,7,1.743682,0.0013,1.0000
NextFit,8,random_normal,4,0.863709,0.0005,1.0000
FirstFit,8,random_normal,4,0.863709,0.0007,1.0000
BestFit,8,random_normal,4,0.863709,0.0012,1.0000
FFD,8,random_normal,4,0.863709,0.0008,1.0000
BFD,8,random_normal,4,0.863709,0.0013,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0011,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0005,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0012,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0008,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0011,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0008,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0007,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0007,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0009,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0011,1.0000
NextFit,8,random_uniform,5,0.935025,0.0011,1.0000
FirstFit,8,random_uniform,5,0.935025,0.0007,1.0000
BestFit,8,random_uniform,5,0.935025,0.0010,1.0000
FFD,8,random_uniform,5,0.935025,0.0007,1.0000
BFD,8,random_uniform,5,0.935025,0.0011,1.0000
NextFit,8,random_normal,6,2.115135,0.0008,1.2000
FirstFit,8,random_normal,5,1.115135,0.0007,1.0000
BestFit,8,random_normal,5,1.115135,0.0010,1.0000
FFD,8,random_normal,5,1.115135,0.0006,1.0000
BFD,8,random_normal,5,1.115135,0.0010,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0013,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0005,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0010,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0008,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0008,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0007,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0009,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0012,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0006,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0006,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0009,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0007,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0013,1.0000
NextFit,8,random_uniform,5,1.423930,0.0013,1.2500
FirstFit,8,random_uniform,5,1.423930,0.0008,1.2500
BestFit,8,random_uniform,4,0.423930,0.0017,1.0000
FFD,8,random_uniform,4,0.423930,0.0008,1.0000
BFD,8,random_uniform,4,0.423930,0.0014,1.0000
NextFit,8,random_normal,5,0.803160,0.0015,1.0000
FirstFit,8,random_normal,5,0.803160,0.0008,1.0000
BestFit,8,random_normal,5,0.803160,0.0011,1.0000
FFD,8,random_normal,5,0.803160,0.0009,1.0000
BFD,8,random_normal,5,0.803160,0.0014,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0010,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0008,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0012,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0013,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0008,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0006,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0009,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0008,1.0000
NextFit,8,random_uniform,5,1.807404,0.0007,1.2500
FirstFit,8,random_uniform,4,0.807404,0.0004,1.0000
BestFit,8,random_uniform,4,0.807404,0.0015,1.0000
FFD,8,random_uniform,4,0.807404,0.0005,1.0000
BFD,8,random_uniform,4,0.807404,0.0011,1.0000
NextFit,8,random_normal,5,1.676610,0.0005,1.2500
FirstFit,8,random_normal,4,0.676610,0.0004,1.0000
BestFit,8,random_normal,4,0.676610,0.0007,1.0000
FFD,8,random_normal,4,0.676610,0.0005,1.0000
BFD,8,random_normal,4,0.676610,0.0007,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0005,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0004,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0008,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0004,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0007,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0009,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0007,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0009,1.0000
NextFit,8,random_uniform,7,2.066499,0.0009,1.0000
FirstFit,8,random_uniform,7,2.066499,0.0004,1.0000
BestFit,8,random_uniform,7,2.066499,0.0010,1.0000
FFD,8,random_uniform,7,2.066499,0.0006,1.0000
BFD,8,random_uniform,7,2.066499,0.0011,1.0000
NextFit,8,random_normal,7,2.829723,0.0007,1.0000
FirstFit,8,random_normal,7,2.829723,0.0004,1.0000
BestFit,8,random_normal,7,2.829723,0.0007,1.0000
FFD,8,random_normal,7,2.829723,0.0006,1.0000
BFD,8,random_normal,7,2.829723,0.0008,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0004,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0009,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0005,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0006,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0004,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0005,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
NextFit,8,random_uniform,6,1.843923,0.0007,1.2000
FirstFit,8,random_uniform,5,0.843923,0.0004,1.0000
BestFit,8,random_uniform,5,0.843923,0.0008,1.0000
FFD,8,random_uniform,5,0.843923,0.0005,1.0000
BFD,8,random_uniform,5,0.843923,0.0009,1.0000
NextFit,8,random_normal,5,0.509785,0.0004,1.0000
FirstFit,8,random_normal,5,0.509785,0.0004,1.0000
BestFit,8,random_normal,5,0.509785,0.0016,1.0000
FFD,8,random_normal,5,0.509785,0.0005,1.0000
BFD,8,random_normal,5,0.509785,0.0009,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0004,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0007,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0004,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0006,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0005,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0007,1.0000
NextFit,8,random_uniform,6,1.302606,0.0005,1.0000
FirstFit,8,random_uniform,6,1.302606,0.0004,1.0000
BestFit,8,random_uniform,6,1.302606,0.0008,1.0000
FFD,8,random_uniform,6,1.302606,0.0005,1.0000
BFD,8,random_uniform,6,1.302606,0.0008,1.0000
NextFit,8,random_normal,8,2.818726,0.0007,1.1429
FirstFit,8,random_normal,7,1.818726,0.0004,1.0000
BestFit,8,random_normal,7,1.818726,0.0008,1.0000
FFD,8,random_normal,7,1.818726,0.0006,1.0000
BFD,8,random_normal,7,1.818726,0.0009,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0008,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0006,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0006,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
NextFit,8,random_uniform,4,0.938699,0.0005,1.0000
FirstFit,8,random_uniform,4,0.938699,0.0003,1.0000
BestFit,8,random_uniform,4,0.938699,0.0006,1.0000
FFD,8,random_uniform,4,0.938699,0.0006,1.0000
BFD,8,random_uniform,4,0.938699,0.0007,1.0000
NextFit,8,random_normal,4,1.175603,0.0003,1.3333
FirstFit,8,random_normal,4,1.175603,0.0003,1.3333
BestFit,8,random_normal,4,1.175603,0.0006,1.3333
FFD,8,random_normal,3,0.175603,0.0005,1.0000
BFD,8,random_normal,3,0.175603,0.0007,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0006,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0006,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0005,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
NextFit,8,random_uniform,7,2.451287,0.0005,1.4000
FirstFit,8,random_uniform,5,0.451287,0.0004,1.0000
BestFit,8,random_uniform,5,0.451287,0.0008,1.0000
FFD,8,random_uniform,5,0.451287,0.0005,1.0000
BFD,8,random_uniform,5,0.451287,0.0009,1.0000
NextFit,8,random_normal,5,1.565024,0.0004,1.2500
FirstFit,8,random_normal,4,0.565024,0.0004,1.0000
BestFit,8,random_normal,4,0.565024,0.0008,1.0000
FFD,8,random_normal,4,0.565024,0.0005,1.0000
BFD,8,random_normal,4,0.565024,0.0008,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0005,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0006,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0005,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
NextFit,8,random_uniform,6,2.444035,0.0006,1.5000
FirstFit,8,random_uniform,4,0.444035,0.0003,1.0000
BestFit,8,random_uniform,4,0.444035,0.0008,1.0000
FFD,8,random_uniform,4,0.444035,0.0005,1.0000
BFD,8,random_uniform,4,0.444035,0.0007,1.0000
NextFit,8,random_normal,6,1.648873,0.0004,1.2000
FirstFit,8,random_normal,6,1.648873,0.0004,1.2000
BestFit,8,random_normal,6,1.648873,0.0007,1.2000
FFD,8,random_normal,5,0.648873,0.0005,1.0000
BFD,8,random_normal,5,0.648873,0.0009,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0004,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0005,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0005,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
NextFit,8,random_uniform,7,1.700825,0.0005,1.0000
FirstFit,8,random_uniform,7,1.700825,0.0003,1.0000
BestFit,8,random_uniform,7,1.700825,0.0009,1.0000
FFD,8,random_uniform,7,1.700825,0.0005,1.0000
BFD,8,random_uniform,7,1.700825,0.0008,1.0000
NextFit,8,random_normal,6,1.756183,0.0015,1.2000
FirstFit,8,random_normal,5,0.756183,0.0006,1.0000
BestFit,8,random_normal,5,0.756183,0.0019,1.0000
FFD,8,random_normal,5,0.756183,0.0007,1.0000
BFD,8,random_normal,5,0.756183,0.0012,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0008,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0004,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0008,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0004,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0007,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0006,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0005,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0004,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
NextFit,8,random_uniform,7,1.719110,0.0007,1.0000
FirstFit,8,random_uniform,7,1.719110,0.0005,1.0000
BestFit,8,random_uniform,7,1.719110,0.0008,1.0000
FFD,8,random_uniform,7,1.719110,0.0006,1.0000
BFD,8,random_uniform,7,1.719110,0.0010,1.0000
NextFit,8,random_normal,6,2.433463,0.0005,1.5000
FirstFit,8,random_normal,5,1.433463,0.0004,1.2500
BestFit,8,random_normal,5,1.433463,0.0009,1.2500
FFD,8,random_normal,4,0.433463,0.0005,1.0000
BFD,8,random_normal,4,0.433463,0.0009,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0006,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
BestFit,8,adversarial_harmonic,2,0.171032,0.0004,1.0000
FFD,8,adversarial_harmonic,2,0.171032,0.0003,1.0000
BFD,8,adversarial_harmonic,2,0.171032,0.0005,1.0000
NextFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
FirstFit,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BestFit,8,adversarial_mixed,3,0.100000,0.0005,1.0000
FFD,8,adversarial_mixed,3,0.100000,0.0003,1.0000
BFD,8,adversarial_mixed,3,0.100000,0.0006,1.0000
NextFit,8,random_uniform,7,2.049341,0.0006,1.1667
FirstFit,8,random_uniform,6,1.049341,0.0003,1.0000
BestFit,8,random_uniform,6,1.049341,0.0007,1.0000
FFD,8,random_uniform,6,1.049341,0.0005,1.0000
BFD,8,random_uniform,6,1.049341,0.0008,1.0000
NextFit,8,random_normal,7,2.779591,0.0005,1.0000
FirstFit,8,random_normal,7,2.779591,0.0003,1.0000
BestFit,8,random_normal,7,2.779591,0.0009,1.0000
FFD,8,random_normal,7,2.779591,0.0004,1.0000
BFD,8,random_normal,7,2.779591,0.0007,1.0000
NextFit,8,adversarial_over_half,8,3.920000,0.0006,1.0000
FirstFit,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BestFit,8,adversarial_over_half,8,3.920000,0.0005,1.0000
FFD,8,adversarial_over_half,8,3.920000,0.0003,1.0000
BFD,8,adversarial_over_half,8,3.920000,0.0006,1.0000
NextFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
FirstFit,8,adversarial_harmonic,2,0.171032,0.0002,1.0000
